SessionNo,OrderNo,CustomerNo,Date,OrderValue,OrderReturned,CartAbandoned,RepeatBuyer,Device
1,,5391,12/02/2025,,N,Y,N,Desktop
2,,5735,12/02/2025,,N,Y,N,Mobile
3,,5579,12/02/2025,,N,Y,N,Desktop
4,,7832,12/02/2025,,N,Y,N,Mobile
5,,2392,12/02/2025,,N,Y,N,Desktop
6,,5312,12/02/2025,,N,Y,N,Tablet
7,,3386,12/02/2025,,N,Y,N,Mobile
8,,7729,12/02/2025,,N,Y,N,Mobile
9,,2048,12/02/2025,,N,Y,N,Mobile
10,,190,12/02/2025,,N,Y,N,Mobile
11,,1900,12/02/2025,,N,Y,N,Mobile
12,,3203,12/02/2025,,N,Y,N,Desktop
13,100000,2889,12/02/2025,483.5,N,N,N,Mobile
14,,2613,12/02/2025,,N,Y,N,Mobile
15,,7100,12/02/2025,,N,Y,N,Mobile
16,,4015,12/02/2025,,N,Y,N,Mobile
17,,1586,12/02/2025,,N,Y,N,Mobile
18,,3462,12/02/2025,,N,Y,N,Mobile
19,100001,1501,12/02/2025,470.96,N,N,N,Tablet
20,,4912,12/02/2025,,N,Y,N,Mobile
21,,1276,12/02/2025,,N,Y,N,Mobile
22,,6864,12/02/2025,,N,Y,N,Desktop
23,,4888,12/02/2025,,N,Y,N,Mobile
24,,380,12/02/2025,,N,Y,N,Mobile
25,100002,3885,12/02/2025,390.68,Y,N,N,Mobile
26,,5259,12/02/2025,,N,Y,N,Mobile
27,,4515,12/02/2025,,N,Y,N,Desktop
28,100003,2279,12/02/2025,428.02,N,N,N,Mobile
29,,4599,12/02/2025,,N,Y,N,Mobile
30,,6243,12/02/2025,,N,Y,N,Mobile
31,,1571,12/02/2025,,N,Y,N,Mobile
32,,5582,12/02/2025,,N,Y,N,Desktop
33,,503,12/02/2025,,N,Y,N,Desktop
34,,4489,12/02/2025,,N,Y,N,Desktop
35,,7036,12/02/2025,,N,Y,N,Mobile
36,,2791,12/02/2025,,N,Y,N,Mobile
37,,6020,12/02/2025,,N,Y,N,Desktop
38,,6893,12/02/2025,,N,Y,N,Mobile
39,,6669,12/02/2025,,N,Y,N,Mobile
40,,3158,12/02/2025,,N,Y,N,Desktop
41,100004,1598,12/02/2025,405.76,N,N,N,Mobile
42,,5451,12/02/2025,,N,Y,N,Mobile
43,,5593,12/02/2025,,N,Y,N,Mobile
44,,5497,12/02/2025,,N,Y,N,Mobile
45,,5069,12/02/2025,,N,Y,N,Desktop
46,,5576,12/02/2025,,N,Y,N,Mobile
47,,7393,12/02/2025,,N,Y,N,Mobile
48,,1999,12/02/2025,,N,Y,N,Mobile
49,,1496,12/02/2025,,N,Y,N,Desktop
50,,5617,12/02/2025,,N,Y,N,Mobile
51,,7975,12/02/2025,,N,Y,N,Mobile
52,,3697,12/02/2025,,N,Y,N,Tablet
53,,4098,12/02/2025,,N,Y,N,Mobile
54,,5856,12/02/2025,,N,Y,N,Desktop
55,,5250,12/02/2025,,N,Y,N,Mobile
56,,1734,12/02/2025,,N,Y,N,Mobile
57,,203,12/02/2025,,N,Y,N,Mobile
58,,4390,12/02/2025,,N,Y,N,Mobile
59,100005,198,12/02/2025,403.21,N,N,N,Mobile
60,,2512,12/02/2025,,N,Y,N,Mobile
61,,7099,12/02/2025,,N,Y,N,Mobile
62,,5631,12/02/2025,,N,Y,N,Mobile
63,,1844,12/02/2025,,N,Y,N,Desktop
64,,6695,12/02/2025,,N,Y,N,Desktop
65,,6617,12/02/2025,,N,Y,N,Mobile
66,,3370,12/02/2025,,N,Y,N,Mobile
67,,6490,12/02/2025,,N,Y,N,Tablet
68,,4977,12/02/2025,,N,Y,N,Mobile
69,100006,3724,12/02/2025,110.58,N,N,N,Mobile
70,100007,2256,12/02/2025,394.34,N,N,N,Desktop
71,,5540,12/02/2025,,N,Y,N,Desktop
72,100008,7395,12/02/2025,487.36,N,N,N,Mobile
73,,3778,12/02/2025,,N,Y,N,Mobile
74,,5801,12/02/2025,,N,Y,N,Mobile
75,,4494,12/02/2025,,N,Y,N,Mobile
76,,6016,12/02/2025,,N,Y,N,Desktop
77,,4736,12/02/2025,,N,Y,N,Mobile
78,,4566,12/02/2025,,N,Y,N,Mobile
79,,6182,12/02/2025,,N,Y,N,Tablet
80,100009,5896,12/02/2025,261.27,N,N,N,Mobile
81,,4549,12/02/2025,,N,Y,N,Mobile
82,,7684,12/02/2025,,N,Y,N,Mobile
83,,17,12/02/2025,,N,Y,N,Tablet
84,,1070,12/02/2025,,N,Y,N,Desktop
85,,5865,12/02/2025,,N,Y,N,Tablet
86,100010,302,12/02/2025,429.44,N,N,N,Tablet
87,,6103,12/02/2025,,N,Y,N,Mobile
88,100011,2066,12/02/2025,354.09,N,N,N,Mobile
89,,7456,12/02/2025,,N,Y,N,Mobile
90,100012,7807,12/02/2025,375.57,N,N,N,Mobile
91,,7344,12/02/2025,,N,Y,N,Mobile
92,100013,538,12/02/2025,458.36,N,N,N,Desktop
93,,4781,12/02/2025,,N,Y,N,Mobile
94,100014,4496,12/02/2025,33.26,N,N,N,Mobile
95,,1983,12/02/2025,,N,Y,N,Mobile
96,100015,575,12/02/2025,432.99,Y,N,N,Tablet
97,,3855,12/02/2025,,N,Y,N,Mobile
98,,7137,12/02/2025,,N,Y,N,Desktop
99,,7788,12/02/2025,,N,Y,N,Mobile
100,,877,12/02/2025,,N,Y,N,Mobile
101,,7011,12/02/2025,,N,Y,N,Mobile
102,,4365,12/02/2025,,N,Y,N,Tablet
103,,1683,12/02/2025,,N,Y,N,Desktop
104,,3676,12/02/2025,,N,Y,N,Desktop
105,100016,7642,12/02/2025,354.07,N,N,N,Tablet
106,,513,12/02/2025,,N,Y,N,Mobile
107,,5238,12/02/2025,,N,Y,N,Desktop
108,,4993,12/02/2025,,N,Y,N,Tablet
109,,1471,12/02/2025,,N,Y,N,Mobile
110,,3148,12/02/2025,,N,Y,N,Mobile
111,,7254,12/02/2025,,N,Y,N,Mobile
112,,5189,12/02/2025,,N,Y,N,Mobile
113,,5054,12/02/2025,,N,Y,N,Desktop
114,100017,2266,12/02/2025,186.23,N,N,N,Desktop
115,,5882,12/02/2025,,N,Y,N,Mobile
116,,2850,12/02/2025,,N,Y,N,Mobile
117,100018,3731,12/02/2025,336.17,N,N,N,Mobile
118,100019,5879,12/02/2025,325.47,N,N,N,Desktop
119,,3747,12/02/2025,,N,Y,N,Mobile
120,,2739,12/02/2025,,N,Y,N,Desktop
121,100020,7745,12/02/2025,113.98,N,N,N,Tablet
122,,3970,12/02/2025,,N,Y,N,Mobile
123,,2775,12/02/2025,,N,Y,N,Mobile
124,100021,7114,12/02/2025,155.29,N,N,N,Mobile
125,,1517,12/02/2025,,N,Y,N,Desktop
126,,729,12/02/2025,,N,Y,N,Desktop
127,,3466,12/02/2025,,N,Y,N,Mobile
128,,2787,12/02/2025,,N,Y,N,Tablet
129,,5074,12/02/2025,,N,Y,N,Mobile
130,100022,6807,12/02/2025,225.92,N,N,N,Desktop
131,,4969,12/02/2025,,N,Y,N,Mobile
132,,596,12/02/2025,,N,Y,N,Desktop
133,,699,12/02/2025,,N,Y,N,Mobile
134,,6589,12/02/2025,,N,Y,N,Desktop
135,,2503,12/02/2025,,N,Y,N,Tablet
136,,7732,12/02/2025,,N,Y,N,Mobile
137,,4981,12/02/2025,,N,Y,N,Mobile
138,,7092,12/02/2025,,N,Y,N,Mobile
139,,3223,12/02/2025,,N,Y,N,Desktop
140,,7861,12/02/2025,,N,Y,N,Mobile
141,,3295,12/02/2025,,N,Y,N,Mobile
142,,733,12/02/2025,,N,Y,N,Mobile
143,100023,6732,12/02/2025,436.1,N,N,N,Mobile
144,100024,1192,12/02/2025,359,N,N,N,Mobile
145,100025,2387,12/02/2025,442.57,N,N,N,Mobile
146,,1325,12/02/2025,,N,Y,N,Desktop
147,,3487,12/02/2025,,N,Y,N,Mobile
148,100026,2215,12/02/2025,73.37,Y,N,N,Mobile
149,,1244,12/02/2025,,N,Y,N,Mobile
150,,456,12/02/2025,,N,Y,N,Mobile
151,,3073,12/02/2025,,N,Y,N,Mobile
152,,505,12/02/2025,,N,Y,N,Mobile
153,,824,12/02/2025,,N,Y,N,Mobile
154,100027,2106,12/02/2025,40.72,N,N,N,Mobile
155,,4299,12/02/2025,,N,Y,N,Desktop
156,,5779,12/02/2025,,N,Y,N,Tablet
157,,1257,12/02/2025,,N,Y,N,Mobile
158,,3585,12/02/2025,,N,Y,N,Mobile
159,100028,2704,12/02/2025,480.18,N,N,N,Desktop
160,,7576,12/02/2025,,N,Y,N,Mobile
161,,5468,12/02/2025,,N,Y,N,Mobile
162,,7484,12/02/2025,,N,Y,N,Mobile
163,,4137,12/02/2025,,N,Y,N,Mobile
164,,7103,12/02/2025,,N,Y,N,Mobile
165,,7892,12/02/2025,,N,Y,N,Mobile
166,100029,2957,12/02/2025,475.9,N,N,N,Desktop
167,100030,6594,12/02/2025,284.76,N,N,N,Mobile
168,100031,4470,12/02/2025,92.2,N,N,N,Desktop
169,,3926,12/02/2025,,N,Y,N,Desktop
170,,4001,12/02/2025,,N,Y,N,Mobile
171,,385,12/02/2025,,N,Y,N,Mobile
172,100032,4572,12/02/2025,498.39,N,N,N,Desktop
173,,2725,12/02/2025,,N,Y,N,Desktop
174,,7253,12/02/2025,,N,Y,N,Mobile
175,,4147,12/02/2025,,N,Y,N,Mobile
176,,4545,12/02/2025,,N,Y,N,Mobile
177,,3420,12/02/2025,,N,Y,N,Mobile
178,100033,250,12/02/2025,269.68,N,N,N,Mobile
179,100034,389,12/02/2025,303.18,N,N,N,Mobile
180,,1253,12/02/2025,,N,Y,N,Mobile
181,,4531,12/02/2025,,N,Y,N,Desktop
182,,6882,12/02/2025,,N,Y,N,Mobile
183,,6942,12/02/2025,,N,Y,N,Mobile
184,,2018,12/02/2025,,N,Y,N,Mobile
185,,7128,12/02/2025,,N,Y,N,Desktop
186,100035,3178,12/02/2025,90.6,N,N,N,Desktop
187,,3580,12/02/2025,,N,Y,N,Mobile
188,,7942,12/02/2025,,N,Y,N,Mobile
189,,3819,12/02/2025,,N,Y,N,Mobile
190,,6255,12/02/2025,,N,Y,N,Mobile
191,,6239,12/02/2025,,N,Y,N,Mobile
192,,900,12/02/2025,,N,Y,N,Mobile
193,,3267,12/02/2025,,N,Y,N,Desktop
194,,672,12/02/2025,,N,Y,N,Mobile
195,,7571,12/02/2025,,N,Y,N,Desktop
196,,4778,12/02/2025,,N,Y,N,Mobile
197,,7681,12/02/2025,,N,Y,N,Mobile
198,,3118,12/02/2025,,N,Y,N,Mobile
199,,5933,12/02/2025,,N,Y,N,Mobile
200,,6191,12/02/2025,,N,Y,N,Mobile
201,,6494,12/02/2025,,N,Y,N,Mobile
202,100036,4433,12/02/2025,379.16,N,N,N,Mobile
203,,639,12/02/2025,,N,Y,N,Desktop
204,,4124,12/02/2025,,N,Y,N,Mobile
205,,365,12/02/2025,,N,Y,N,Mobile
206,100037,4979,12/02/2025,265.61,N,N,N,Desktop
207,,7674,12/02/2025,,N,Y,N,Mobile
208,,2775,12/02/2025,,N,Y,Y,Mobile
209,100038,714,12/02/2025,62.82,N,N,N,Mobile
210,,3597,12/02/2025,,N,Y,N,Mobile
211,,67,12/02/2025,,N,Y,N,Mobile
212,,6372,12/02/2025,,N,Y,N,Mobile
213,,7944,12/02/2025,,N,Y,N,Mobile
214,,7722,12/02/2025,,N,Y,N,Mobile
215,,5402,12/02/2025,,N,Y,N,Mobile
216,,2363,12/02/2025,,N,Y,N,Tablet
217,,1313,12/02/2025,,N,Y,N,Mobile
218,,1606,12/02/2025,,N,Y,N,Mobile
219,100039,6987,12/02/2025,46.71,Y,N,N,Mobile
220,100040,2591,12/02/2025,73.78,N,N,N,Mobile
221,100041,4,12/02/2025,255.56,N,N,N,Mobile
222,,4290,12/02/2025,,N,Y,N,Mobile
223,,5555,12/02/2025,,N,Y,N,Desktop
224,,5530,12/02/2025,,N,Y,N,Mobile
225,,225,12/02/2025,,N,Y,N,Desktop
226,,2049,12/02/2025,,N,Y,N,Mobile
227,100042,1829,12/02/2025,173.91,N,N,N,Mobile
228,,2040,12/02/2025,,N,Y,N,Mobile
229,,2220,12/02/2025,,N,Y,N,Mobile
230,,1620,12/02/2025,,N,Y,N,Mobile
231,,2833,12/02/2025,,N,Y,N,Mobile
232,,7718,12/02/2025,,N,Y,N,Mobile
233,,7985,12/02/2025,,N,Y,N,Desktop
234,,1970,12/02/2025,,N,Y,N,Mobile
235,,5257,12/02/2025,,N,Y,N,Mobile
236,,2561,12/02/2025,,N,Y,N,Desktop
237,100043,5952,12/02/2025,380.24,N,N,N,Desktop
238,,7333,12/02/2025,,N,Y,N,Desktop
239,,7578,12/02/2025,,N,Y,N,Desktop
240,100044,1066,12/02/2025,230.78,N,N,N,Mobile
241,,6566,12/02/2025,,N,Y,N,Mobile
242,100045,993,12/02/2025,204.27,N,N,N,Mobile
243,,4019,12/02/2025,,N,Y,N,Mobile
244,,2627,12/02/2025,,N,Y,N,Mobile
245,100046,5568,12/02/2025,257.8,N,N,N,Mobile
246,,2205,12/02/2025,,N,Y,N,Mobile
247,,7141,12/02/2025,,N,Y,N,Desktop
248,100047,2244,12/02/2025,440.85,N,N,N,Mobile
249,,7327,12/02/2025,,N,Y,N,Mobile
250,100048,6589,12/02/2025,91.96,N,N,Y,Mobile
251,,4226,12/02/2025,,N,Y,N,Mobile
252,,1956,12/02/2025,,N,Y,N,Mobile
253,100049,2117,12/02/2025,184.41,N,N,N,Desktop
254,,346,12/02/2025,,N,Y,N,Desktop
255,,2189,12/02/2025,,N,Y,N,Mobile
256,100050,6669,12/02/2025,467.42,N,N,Y,Mobile
257,,2936,12/02/2025,,N,Y,N,Mobile
258,,3057,12/02/2025,,N,Y,N,Mobile
259,,5110,12/02/2025,,N,Y,N,Mobile
260,,3369,12/02/2025,,N,Y,N,Desktop
261,,2862,12/02/2025,,N,Y,N,Mobile
262,100051,6564,12/02/2025,437.55,N,N,N,Mobile
263,,2709,12/02/2025,,N,Y,N,Mobile
264,,202,12/02/2025,,N,Y,N,Desktop
265,,5033,12/02/2025,,N,Y,N,Mobile
266,,1626,12/02/2025,,N,Y,N,Desktop
267,100052,3282,12/02/2025,301.79,N,N,N,Mobile
268,,1206,12/02/2025,,N,Y,N,Mobile
269,,4806,12/02/2025,,N,Y,N,Mobile
270,,4381,12/02/2025,,N,Y,N,Mobile
271,,2204,12/02/2025,,N,Y,N,Mobile
272,,4945,12/02/2025,,N,Y,N,Tablet
273,,3702,12/02/2025,,N,Y,N,Desktop
274,,5480,12/02/2025,,N,Y,N,Mobile
275,,3213,12/02/2025,,N,Y,N,Mobile
276,,952,12/02/2025,,N,Y,N,Desktop
277,,2333,12/02/2025,,N,Y,N,Mobile
278,,7312,12/02/2025,,N,Y,N,Mobile
279,,6734,12/02/2025,,N,Y,N,Desktop
280,,6646,12/02/2025,,N,Y,N,Mobile
281,,5798,12/02/2025,,N,Y,N,Desktop
282,100053,3336,12/02/2025,199.19,N,N,N,Desktop
283,100054,3452,12/02/2025,423.1,N,N,N,Desktop
284,,4409,12/02/2025,,N,Y,N,Mobile
285,,2491,12/02/2025,,N,Y,N,Mobile
286,,6905,12/02/2025,,N,Y,N,Desktop
287,,7777,12/02/2025,,N,Y,N,Mobile
288,,7971,12/02/2025,,N,Y,N,Mobile
289,100055,3192,12/02/2025,473.32,N,N,N,Desktop
290,,823,12/02/2025,,N,Y,N,Desktop
291,100056,775,12/02/2025,78.93,N,N,N,Desktop
292,100057,4178,12/02/2025,184.07,N,N,N,Desktop
293,100058,4567,12/02/2025,185.69,N,N,N,Mobile
294,100059,5173,12/02/2025,386.53,N,N,N,Mobile
